Book{id=0 type=Бумажная книга, author='Достоевский Ф.М.', bookName='Бесы', pages=700}
Book{id=1 type=Электронная книга, author='Достоевский Ф.М.', bookName='Братья Карамазовы', pages=950}
Book{id=2 type=Бумажная книга, author='Толстой Л.Н.', bookName='Воскресение', pages=400}
Book{id=3 type=Бумажная книга, author='Толстой Л.Н.', bookName='Война и мир', pages=1400}
Book{id=4 type=Электронная книга, author='Гоголь Н.В.', bookName='Мёртвые души', pages=500}
Book{id=0 type=Бумажная книга, author='Достоевский Ф.М.', bookName='Бесы', pages=700}
Book{id=1 type=Электронная книга, author='Достоевский Ф.М.', bookName='Братья Карамазовы', pages=950}
Book{id=2 type=Бумажная книга, author='Толстой Л.Н.', bookName='Воскресение', pages=400}
Book{id=3 type=Бумажная книга, author='Толстой Л.Н.', bookName='Война и мир', pages=1400}
Book{id=4 type=Электронная книга, author='Гоголь Н.В.', bookName='Мёртвые души', pages=500}
Book{id=0 type=Бумажная книга, author='Достоевский Ф.М.', bookName='Бесы', pages=700}
Book{id=1 type=Электронная книга, author='Достоевский Ф.М.', bookName='Братья Карамазовы', pages=950}
Book{id=2 type=Бумажная книга, author='Толстой Л.Н.', bookName='Воскресение', pages=400}
Book{id=3 type=Бумажная книга, author='Толстой Л.Н.', bookName='Война и мир', pages=1400}
Book{id=4 type=Электронная книга, author='Гоголь Н.В.', bookName='Мёртвые души', pages=500}
Book{id=0 type=Бумажная книга, author='Достоевский Ф.М.', bookName='Бесы', pages=700}
Book{id=1 type=Электронная книга, author='Достоевский Ф.М.', bookName='Братья Карамазовы', pages=950}
Book{id=2 type=Бумажная книга, author='Толстой Л.Н.', bookName='Воскресение', pages=400}
Book{id=3 type=Бумажная книга, author='Толстой Л.Н.', bookName='Война и мир', pages=1400}
Book{id=4 type=Электронная книга, author='Гоголь Н.В.', bookName='Мёртвые души', pages=500}
